None
Data loaded | train: 200 | val: 40 | test: 60 | split: splitdefault

============================================================
Model: AE3dFCDeep_VAE | latent_dim: 8
============================================================
Training AE3dFCDeep_VAE | device=cuda | batch_size=1 | patience=30 | max_epochs=300
Epoch 1/300 | train: 0.132272 | val: 0.068251 | lr: 5.00e-05 ✓ best
Epoch 2/300 | train: 0.044535 | val: 0.027606 | lr: 5.00e-05 ✓ best
Epoch 3/300 | train: 0.021340 | val: 0.014563 | lr: 5.00e-05 ✓ best
Epoch 4/300 | train: 0.013151 | val: 0.009589 | lr: 5.00e-05 ✓ best
Epoch 5/300 | train: 0.009187 | val: 0.007137 | lr: 5.00e-05 ✓ best
Epoch 6/300 | train: 0.007201 | val: 0.005089 | lr: 5.00e-05 ✓ best
Epoch 7/300 | train: 0.005713 | val: 0.004132 | lr: 5.00e-05 ✓ best
Epoch 8/300 | train: 0.004828 | val: 0.003326 | lr: 5.00e-05 ✓ best
Epoch 9/300 | train: 0.004103 | val: 0.002714 | lr: 5.00e-05 ✓ best
Epoch 10/300 | train: 0.003636 | val: 0.002461 | lr: 5.00e-05 ✓ best
Epoch 11/300 | train: 0.003383 | val: 0.002280 | lr: 5.00e-05 ✓ best
Epoch 12/300 | train: 0.003091 | val: 0.001969 | lr: 5.00e-05 ✓ best
Epoch 13/300 | train: 0.002819 | val: 0.002120 | lr: 5.00e-05 (no improvement for 1 epochs)
Epoch 14/300 | train: 0.002586 | val: 0.001733 | lr: 5.00e-05 ✓ best
Epoch 15/300 | train: 0.002546 | val: 0.001791 | lr: 5.00e-05 (no improvement for 1 epochs)
Epoch 16/300 | train: 0.002372 | val: 0.001558 | lr: 5.00e-05 ✓ best
Epoch 17/300 | train: 0.002302 | val: 0.001476 | lr: 5.00e-05 ✓ best
Epoch 18/300 | train: 0.002235 | val: 0.001495 | lr: 5.00e-05 (no improvement for 1 epochs)
Epoch 19/300 | train: 0.002106 | val: 0.001372 | lr: 5.00e-05 ✓ best
Epoch 20/300 | train: 0.002057 | val: 0.001396 | lr: 5.00e-05 (no improvement for 1 epochs)
Epoch 21/300 | train: 0.001949 | val: 0.001236 | lr: 5.00e-05 ✓ best
Epoch 22/300 | train: 0.001946 | val: 0.001371 | lr: 5.00e-05 (no improvement for 1 epochs)
Epoch 23/300 | train: 0.001911 | val: 0.001385 | lr: 5.00e-05 (no improvement for 2 epochs)
Epoch 24/300 | train: 0.001863 | val: 0.001375 | lr: 5.00e-05 (no improvement for 3 epochs)
Epoch 25/300 | train: 0.001917 | val: 0.001599 | lr: 5.00e-05 (no improvement for 4 epochs)
Epoch 26/300 | train: 0.001869 | val: 0.001190 | lr: 5.00e-05 ✓ best
Epoch 27/300 | train: 0.001827 | val: 0.001271 | lr: 5.00e-05 (no improvement for 1 epochs)
