nohup: ignoring input
Data loaded | train: 200 | val: 40 | split: splitdefault
Trials complétés : 0 / 40 — restants : 40
  0%|          | 0/40 [00:00<?, ?it/s]Training AE3dFCDeep | device=cuda | batch_size=1 | patience=40 | max_epochs=300
Epoch 1/300 | train: 0.269274 | val: 0.246968 | lr: 1.00e-05 ✓ best
Epoch 2/300 | train: 0.234454 | val: 0.224977 | lr: 1.00e-05 ✓ best
Epoch 3/300 | train: 0.203112 | val: 0.183323 | lr: 1.00e-05 ✓ best
Epoch 4/300 | train: 0.161220 | val: 0.144327 | lr: 1.00e-05 ✓ best
Epoch 5/300 | train: 0.129002 | val: 0.117604 | lr: 1.00e-05 ✓ best
Epoch 6/300 | train: 0.106795 | val: 0.098193 | lr: 1.00e-05 ✓ best
Epoch 7/300 | train: 0.090061 | val: 0.083229 | lr: 1.00e-05 ✓ best
Epoch 8/300 | train: 0.076964 | val: 0.071153 | lr: 1.00e-05 ✓ best
Epoch 9/300 | train: 0.066192 | val: 0.061353 | lr: 1.00e-05 ✓ best
Epoch 10/300 | train: 0.057347 | val: 0.053204 | lr: 1.00e-05 ✓ best
Epoch 11/300 | train: 0.050008 | val: 0.046413 | lr: 1.00e-05 ✓ best
Epoch 12/300 | train: 0.043728 | val: 0.040509 | lr: 1.00e-05 ✓ best
Epoch 13/300 | train: 0.038265 | val: 0.035374 | lr: 1.00e-05 ✓ best
Epoch 14/300 | train: 0.033497 | val: 0.030866 | lr: 1.00e-05 ✓ best
Epoch 15/300 | train: 0.029213 | val: 0.026367 | lr: 1.00e-05 ✓ best
Epoch 16/300 | train: 0.024494 | val: 0.021112 | lr: 1.00e-05 ✓ best
Epoch 17/300 | train: 0.020055 | val: 0.017584 | lr: 1.00e-05 ✓ best
Epoch 18/300 | train: 0.016919 | val: 0.014727 | lr: 1.00e-05 ✓ best
Epoch 19/300 | train: 0.014559 | val: 0.012781 | lr: 1.00e-05 ✓ best
Epoch 20/300 | train: 0.012708 | val: 0.011096 | lr: 1.00e-05 ✓ best
Epoch 21/300 | train: 0.011152 | val: 0.009629 | lr: 1.00e-05 ✓ best
Epoch 22/300 | train: 0.009844 | val: 0.008510 | lr: 1.00e-05 ✓ best
Epoch 23/300 | train: 0.008735 | val: 0.007420 | lr: 1.00e-05 ✓ best
Epoch 24/300 | train: 0.007780 | val: 0.006600 | lr: 1.00e-05 ✓ best
Epoch 25/300 | train: 0.007027 | val: 0.006060 | lr: 1.00e-05 ✓ best
Epoch 26/300 | train: 0.006317 | val: 0.005240 | lr: 1.00e-05 ✓ best
Epoch 27/300 | train: 0.005721 | val: 0.004566 | lr: 1.00e-05 ✓ best
Epoch 28/300 | train: 0.005235 | val: 0.004676 | lr: 1.00e-05 (no improvement for 1 epochs)
Epoch 29/300 | train: 0.004761 | val: 0.003741 | lr: 1.00e-05 ✓ best
Epoch 30/300 | train: 0.004358 | val: 0.003530 | lr: 1.00e-05 ✓ best
Epoch 31/300 | train: 0.004053 | val: 0.003159 | lr: 1.00e-05 ✓ best
Epoch 32/300 | train: 0.003733 | val: 0.002805 | lr: 1.00e-05 ✓ best
Epoch 33/300 | train: 0.003462 | val: 0.002554 | lr: 1.00e-05 ✓ best
Epoch 34/300 | train: 0.003190 | val: 0.002749 | lr: 1.00e-05 (no improvement for 1 epochs)
Epoch 35/300 | train: 0.002995 | val: 0.002291 | lr: 1.00e-05 ✓ best
Epoch 36/300 | train: 0.002804 | val: 0.002303 | lr: 1.00e-05 (no improvement for 1 epochs)
Epoch 37/300 | train: 0.002636 | val: 0.002229 | lr: 1.00e-05 ✓ best
Epoch 38/300 | train: 0.002479 | val: 0.001816 | lr: 1.00e-05 ✓ best
Epoch 39/300 | train: 0.002365 | val: 0.001730 | lr: 1.00e-05 ✓ best
Epoch 40/300 | train: 0.002269 | val: 0.001599 | lr: 1.00e-05 ✓ best
Epoch 41/300 | train: 0.002149 | val: 0.001721 | lr: 1.00e-05 (no improvement for 1 epochs)
Epoch 42/300 | train: 0.002068 | val: 0.001380 | lr: 1.00e-05 ✓ best
Epoch 43/300 | train: 0.001976 | val: 0.001300 | lr: 1.00e-05 ✓ best
Epoch 44/300 | train: 0.001891 | val: 0.001363 | lr: 1.00e-05 (no improvement for 1 epochs)
Epoch 45/300 | train: 0.001814 | val: 0.001247 | lr: 1.00e-05 ✓ best
Epoch 46/300 | train: 0.001767 | val: 0.001237 | lr: 1.00e-05 ✓ best
Epoch 47/300 | train: 0.001735 | val: 0.001157 | lr: 1.00e-05 ✓ best
Epoch 48/300 | train: 0.001650 | val: 0.001201 | lr: 1.00e-05 (no improvement for 1 epochs)
Epoch 49/300 | train: 0.001599 | val: 0.001223 | lr: 1.00e-05 (no improvement for 2 epochs)
Epoch 50/300 | train: 0.001585 | val: 0.001094 | lr: 1.00e-05 ✓ best
Epoch 51/300 | train: 0.001560 | val: 0.001298 | lr: 1.00e-05 (no improvement for 1 epochs)
Epoch 52/300 | train: 0.001522 | val: 0.001187 | lr: 1.00e-05 (no improvement for 2 epochs)
Epoch 53/300 | train: 0.001488 | val: 0.000913 | lr: 1.00e-05 ✓ best
Epoch 54/300 | train: 0.001445 | val: 0.000963 | lr: 1.00e-05 (no improvement for 1 epochs)
Epoch 55/300 | train: 0.001427 | val: 0.000980 | lr: 1.00e-05 (no improvement for 2 epochs)
Epoch 56/300 | train: 0.001385 | val: 0.000901 | lr: 1.00e-05 ✓ best
Epoch 57/300 | train: 0.001375 | val: 0.000848 | lr: 1.00e-05 ✓ best
Epoch 58/300 | train: 0.001347 | val: 0.000921 | lr: 1.00e-05 (no improvement for 1 epochs)
Epoch 59/300 | train: 0.001321 | val: 0.000825 | lr: 1.00e-05 ✓ best
Epoch 60/300 | train: 0.001307 | val: 0.000786 | lr: 1.00e-05 ✓ best
Epoch 61/300 | train: 0.001307 | val: 0.000907 | lr: 1.00e-05 (no improvement for 1 epochs)
Epoch 62/300 | train: 0.001273 | val: 0.000907 | lr: 1.00e-05 (no improvement for 2 epochs)
Epoch 63/300 | train: 0.001275 | val: 0.000826 | lr: 1.00e-05 (no improvement for 3 epochs)
Epoch 64/300 | train: 0.001244 | val: 0.000861 | lr: 1.00e-05 (no improvement for 4 epochs)
Epoch 65/300 | train: 0.001243 | val: 0.000764 | lr: 1.00e-05 ✓ best
Epoch 66/300 | train: 0.001207 | val: 0.000918 | lr: 1.00e-05 (no improvement for 1 epochs)
Epoch 67/300 | train: 0.001201 | val: 0.000777 | lr: 1.00e-05 (no improvement for 2 epochs)
Epoch 68/300 | train: 0.001193 | val: 0.000977 | lr: 1.00e-05 (no improvement for 3 epochs)
Epoch 69/300 | train: 0.001214 | val: 0.000840 | lr: 1.00e-05 (no improvement for 4 epochs)
Epoch 70/300 | train: 0.001186 | val: 0.000756 | lr: 1.00e-05 ✓ best
Epoch 71/300 | train: 0.001149 | val: 0.000752 | lr: 1.00e-05 ✓ best
Epoch 72/300 | train: 0.001156 | val: 0.000729 | lr: 1.00e-05 ✓ best
Epoch 73/300 | train: 0.001145 | val: 0.000784 | lr: 1.00e-05 (no improvement for 1 epochs)
Epoch 74/300 | train: 0.001136 | val: 0.000765 | lr: 1.00e-05 (no improvement for 2 epochs)
Epoch 75/300 | train: 0.001130 | val: 0.000702 | lr: 1.00e-05 ✓ best
Epoch 76/300 | train: 0.001104 | val: 0.000796 | lr: 1.00e-05 (no improvement for 1 epochs)
Epoch 77/300 | train: 0.001102 | val: 0.000750 | lr: 1.00e-05 (no improvement for 2 epochs)
Epoch 78/300 | train: 0.001113 | val: 0.000692 | lr: 1.00e-05 ✓ best
Epoch 79/300 | train: 0.001102 | val: 0.000869 | lr: 1.00e-05 (no improvement for 1 epochs)
Epoch 80/300 | train: 0.001088 | val: 0.000828 | lr: 1.00e-05 (no improvement for 2 epochs)
Epoch 81/300 | train: 0.001092 | val: 0.000879 | lr: 1.00e-05 (no improvement for 3 epochs)
Epoch 82/300 | train: 0.001084 | val: 0.000824 | lr: 1.00e-05 (no improvement for 4 epochs)
Epoch 83/300 | train: 0.001074 | val: 0.000678 | lr: 1.00e-05 ✓ best
Epoch 84/300 | train: 0.001080 | val: 0.000678 | lr: 1.00e-05 ✓ best
Epoch 85/300 | train: 0.001075 | val: 0.000726 | lr: 1.00e-05 (no improvement for 1 epochs)
Epoch 86/300 | train: 0.001063 | val: 0.000662 | lr: 1.00e-05 ✓ best
Epoch 87/300 | train: 0.001075 | val: 0.000688 | lr: 1.00e-05 (no improvement for 1 epochs)
